Epoch,Train_Loss,Val_Loss,mAP_50_95,mAP_50,mAP_75,Learning_Rate
1,25.447689232927686,11.651491937183199,0.43284389103752596,0.8617392798145167,0.3688062775658411,0.0002
2,19.926244561215665,11.401460529509045,0.4399174545142013,0.8812968665187437,0.3753181567537913,0.00019980365947861302
3,19.37858220161276,11.514756774902343,0.4453766652360845,0.8919918421806216,0.37946890158433966,0.00019921541278079054
4,18.98360660837052,11.393604414803642,0.4531255029765613,0.8967349619319819,0.39079041490762845,0.00019823758144750452
5,18.752094235318772,11.559303628830683,0.44192257402150736,0.8804740056244673,0.37531037245922116,0.00019687402453229876
6,18.604443034719914,11.55926381065732,0.43521076267849074,0.8734868076383491,0.36463973623529655,0.00019513012337136777
7,18.491353570654038,11.635283470153809,0.4525811087279896,0.9002190202544931,0.3887626658067468,0.00019301276034588098
8,18.302686153574193,11.441464088076637,0.45110350241291214,0.895577417504408,0.3827273720099376,0.00019053029172036892
9,18.20660914258754,11.889326749529157,0.4392200057690157,0.8776041414192997,0.3727150634615139,0.0001876925146643644
10,18.0888226417785,11.78618214016869,0.42454895613204824,0.8653816876917914,0.34937768299326355,0.0001845106285874505
11,17.968239029417646,11.54604127066476,0.4428252857930919,0.8909188248743635,0.3731807147211198,0.00018099719094030725
12,17.82678580791392,11.730320875985282,0.43512102545817966,0.8859107057065211,0.35773128497921836,0.000177166067656191
13,17.733806883020605,11.892492485046386,0.42296524493820176,0.8651466333017249,0.3428971106594272,0.00017303237842843043
14,17.60270404105491,12.204633458455403,0.3908398808078797,0.7949227113847216,0.3218656639718991,0.00016861243703990451
15,17.48772463494159,12.15859196072533,0.4031337302051251,0.8317143620065715,0.3280117992857767,0.0001639236869799946
16,17.32110360023823,12.494836253211611,0.3040439172146298,0.6226873643789395,0.23874665567711315,0.00015898463260310107
17,17.18396598836209,12.28268072945731,0.3417975478314322,0.7133499289591327,0.2711244742323041,0.00015381476610041014
18,17.02521456556117,12.597991580054874,0.21161514588785,0.4503677249767277,0.1586496023264301,0.00014843449057312064
19,16.81199903488159,12.50916482834589,0.28290296992784214,0.5849338863558462,0.2209898175111202,0.0001428650395107247
20,16.604580866022314,12.51356866927374,0.26446767303822205,0.5565299756551617,0.2046630550447247,0.00013712839299212545
21,16.336687263529353,12.48056290036156,0.2873520726937747,0.6068887601827134,0.21925183887038346,0.00013124719094030724
22,16.08377392038386,12.549267405555362,0.291546935121023,0.6150556280967661,0.22125744697313376,0.000125244643772903
23,15.778308719269774,12.609604635692778,0.2628408192447799,0.5586302061626237,0.197571741638855,0.00011914444080127959
24,15.482742480014233,12.743695495242164,0.20286644316981725,0.4361833245770642,0.14968841274699446,0.00011297065673964827
25,15.16246891224638,12.890734173002697,0.1317091567118407,0.2890145739671409,0.09645876039381271,0.00010674765669316667
26,14.910778881641145,13.00696320306687,0.13651689813426401,0.299319718146247,0.10018368497898313,0.00010049999999999998
27,14.590537090504423,12.940444210597446,0.1686318443334571,0.3662090171115287,0.12022992236427633,9.42523433068333e-05
28,14.31919252720285,13.087656402587891,0.10685255955451883,0.23962682352222092,0.074906142946783,8.802934326035171e-05
29,14.072644915479295,13.113770167032877,0.11497964490497777,0.2507907893698379,0.08423264462755539,8.185555919872038e-05
30,13.721329546989278,13.179167456853957,0.09869675228772594,0.21428102071793928,0.07103489805365815,7.575535622709693e-05
31,13.441611032283053,13.186392357235864,0.08072398264771831,0.17689233595194115,0.05591752114318912,6.975280905969276e-05
32,13.194751204835608,13.180700138636999,0.11067390473977268,0.23630357483434183,0.07942401816752716,6.387160700787456e-05
33,12.913785998364713,13.227995336623419,0.08639574196901878,0.1902027220819116,0.060242274324692896,5.8134960489275255e-05
34,12.622653616235612,13.247426641555059,0.12456481001316969,0.2755842233276059,0.08774909496127963,5.25655094268793e-05
35,12.322923048506391,13.242740240551177,0.12966751815552674,0.285738238584517,0.09029157217389383,4.71852338995898e-05
36,12.105023851800473,13.463956151689802,0.0564442131306736,0.12394757977196443,0.040068850212567904,4.201536739689892e-05
37,11.80257528183308,13.38750995454334,0.09991608441081633,0.22183927838859857,0.07062787697261226,3.707631302000536e-05
38,11.569098072863639,13.49715478987921,0.06524590094153189,0.14636949789315448,0.046372002803510774,3.238756296009546e-05
39,11.323275391598965,13.53324153536842,0.06438761387817347,0.13958456256501262,0.04531423320036432,2.7967621571569563e-05
40,11.106091453673992,13.606129228501093,0.06349446242191312,0.13947240582004913,0.04519452811369322,2.3833932343808972e-05
41,10.89666995697833,13.636677878243583,0.05715211514343885,0.1259885189878159,0.0402593065185192,2.000280905969273e-05
42,10.726251899435166,13.696121297563826,0.055122604245496254,0.12175984154929652,0.03850085317602242,1.6489371412549517e-05
43,10.543518965295021,13.755960237412225,0.04038115614219513,0.08952996621227377,0.0265636506590561,1.330748533563557e-05
44,10.39857239926115,13.775007792881556,0.040639248175430374,0.0909912775997098,0.027867442557113258,1.0469708279631073e-05
45,10.271923640433778,13.749702417282831,0.05177259093381604,0.11436320434765646,0.03765300228371733,7.987239654118988e-06
46,10.171822816767591,13.800178037370955,0.049553684904708406,0.11168041221491129,0.034670035603012725,5.869876628632222e-06
47,10.084386760630506,13.784414709182013,0.06094209236157406,0.13645220409254613,0.040116389390409284,4.125975467701218e-06
48,10.029443422276923,13.797456804911295,0.057692214312379836,0.1305481803139515,0.038720136704547936,2.7624185524954715e-06
49,9.99663951650579,13.807346707298642,0.052886170583244005,0.11866936040420854,0.035454637817635,1.784587219209462e-06
50,9.952330015060749,13.822712562197731,0.05050609450739062,0.11534025226497703,0.03440826761037533,1.1963405213869797e-06
